,delta_t,delta_r,value
321,3.0,22500,0.04097749940983331
322,3.0,25000,0.0373404508072106
323,3.0,27500,0.0384265014940377
324,3.0,32500,0.045569627077157726
325,3.0,35000,0.038666151352639844
326,3.0,37500,0.03893401237460292
327,3.0,40000,0.03870977841864409
328,3.25,0,0.0358809378937508
329,3.25,2500,0.03631673910944322
330,3.25,5000,0.03651715014021395
331,3.25,7500,0.03734339536742848
332,3.25,10000,0.037847179350780635
333,3.25,12500,0.03630440778457089
334,3.25,15000,0.03718858139249992
335,3.25,17500,0.03744940860357371
336,3.25,20000,0.03703399542844821
337,3.25,22500,0.03835151626854216
338,3.25,25000,0.03965734877997562
339,3.25,27500,0.040683967853460956
340,3.25,30000,0.045281277438924405
341,3.25,32500,0.04110803453656331
342,3.25,35000,0.04076100575083341
343,3.25,37500,0.038703700215880765
344,3.25,40000,0.04345570718924385
345,3.5,0,0.035655342282114866
346,3.5,2500,0.03633907858064944
347,3.5,5000,0.039592164719293166
348,3.5,7500,0.0384799018755988
349,3.5,10000,0.03707847347322879
350,3.5,12500,0.03714735533546509
351,3.5,15000,0.03769823770667369
352,3.5,17500,0.03747043874640088
353,3.5,20000,0.03763505837965919
354,3.5,22500,0.03794384584927535
355,3.5,25000,0.038830187624783186
356,3.5,27500,0.03806315892076473
357,3.5,30000,0.038231294382229386
358,3.5,32500,0.03834299886982251
359,3.5,35000,0.040206731233305426
360,3.5,37500,0.044371100907381056
361,3.5,40000,0.04092051590895984
362,3.75,0,0.03875672344666459
363,3.75,2500,0.03572511895271191
364,3.75,5000,0.03753435795126325
365,3.75,7500,0.03749651734188397
366,3.75,10000,0.03745679952142922
367,3.75,12500,0.036807180602305145
368,3.75,15000,0.04252619462750129
369,3.75,17500,0.041087270277162524
370,3.75,20000,0.040631480595498815
371,3.75,22500,0.04085284893124985
372,3.75,25000,0.04133410722471087
373,3.75,27500,0.041841524539765196
374,3.75,30000,0.0399181365774437
375,3.75,32500,0.03964698286820223
376,3.75,35000,0.04119136885545327
377,3.75,37500,0.03892386740984577
378,3.75,40000,0.04157868360938899
379,4.0,2500,0.03766432622593907
380,4.0,5000,0.03812171833141864
381,4.0,7500,0.0371910760613714
382,4.0,10000,0.042425348437413746
383,4.0,12500,0.03825452166710264
384,4.0,15000,0.04039642231616902
385,4.0,17500,0.040101815196291746
386,4.0,22500,0.03986865694380892
387,4.0,25000,0.04085681967445076
388,4.0,27500,0.0393964732007035
389,4.0,30000,0.041282041489942856
390,4.0,32500,0.03966168559461636
391,4.0,35000,0.04546720511546809
392,4.0,37500,0.04537809685456473
