parameter,param_val,region,gains,losses,sum
price_increase_production_extension,7.0,global,31.688588015000754,-27.187070836000053,4.5015171790007
price_increase_production_extension,7.0,USA,15.010264529999986,-27.16858241200006,-12.158317882000073
price_increase_production_extension,7.5,global,30.534350712000435,-27.308143532999875,3.2262071790005606
price_increase_production_extension,7.5,USA,13.750534385000206,-27.282110147999912,-13.531575762999706
price_increase_production_extension,8.0,global,32.53580157600207,-27.272887102000077,5.262914474001995
price_increase_production_extension,8.0,USA,14.173181612000256,-27.244750425000102,-13.071568812999846
price_increase_production_extension,8.5,global,29.56136616300068,-27.328267079000053,2.233099084000628
price_increase_production_extension,8.5,USA,12.787984641000442,-27.31297038200006,-14.524985740999618
price_increase_production_extension,9.0,global,31.575020184001506,-27.617954756999968,3.957065427001538
price_increase_production_extension,9.0,USA,12.972668870000158,-27.59574799399999,-14.623079123999831
price_increase_production_extension,9.5,global,30.83936349600115,-27.69399027400004,3.1453732220011084
price_increase_production_extension,9.5,USA,12.998809421000544,-27.662818970000057,-14.664009548999513
price_increase_production_extension,10.0,global,28.843997593999813,-27.535003030000244,1.308994563999569
price_increase_production_extension,10.0,USA,11.281590326999918,-27.520478585000248,-16.23888825800033
price_increase_production_extension,10.5,global,29.966123186001248,-27.899006650000015,2.067116536001233
price_increase_production_extension,10.5,USA,11.263160232000082,-27.87046497600001,-16.60730474399993
price_increase_production_extension,11.0,global,29.566097572001972,-27.93373557199988,1.632362000002093
price_increase_production_extension,11.0,USA,11.035104094999674,-27.912912002999903,-16.87780790800023
price_increase_production_extension,11.5,global,28.613392063002237,-27.95097892200006,0.6624131410021761
price_increase_production_extension,11.5,USA,10.248592374000005,-27.914421509000064,-17.66582913500006
price_increase_production_extension,12.0,global,28.662729344002738,-28.148477614000086,0.5142517300026519
price_increase_production_extension,12.0,USA,9.94053203800023,-28.119481785000147,-18.17894974699992
price_increase_production_extension,12.5,global,29.47524100400149,-28.25896242699997,1.2162785770015176
price_increase_production_extension,12.5,USA,10.410569741000835,-28.223989896999985,-17.81342015599915
price_increase_production_extension,13.0,global,26.893469055000125,-28.306232057000077,-1.4127630019999522
price_increase_production_extension,13.0,USA,8.88772590800013,-28.283592938000083,-19.395867029999955
price_increase_production_extension,13.5,global,26.708718637000754,-28.15353359300004,-1.4448149559992878
price_increase_production_extension,13.5,USA,8.605194389000268,-28.113450161000042,-19.508255771999774
price_increase_production_extension,14.0,global,28.670174822001062,-28.23697713299997,0.4331976890010907
price_increase_production_extension,14.0,USA,9.494205839000236,-28.188234780999988,-18.694028941999754
price_increase_production_extension,14.5,global,27.95518660900013,-28.50308526399996,-0.5478986549998304
price_increase_production_extension,14.5,USA,8.503506828999658,-28.453911684999973,-19.950404856000315
price_increase_production_extension,15.0,global,27.74751648200261,-28.614125701000088,-0.8666092189974783
price_increase_production_extension,15.0,USA,9.063580382000644,-28.56177342900011,-19.498193046999464
target_storage_refill_time,1.0,global,32.31134371800008,-26.41932219300015,5.892021524999933
target_storage_refill_time,1.0,USA,16.199621731000107,-26.39091618200013,-10.191294451000022
target_storage_refill_time,1.5,global,31.88518312600146,-26.223158936000246,5.662024190001215
target_storage_refill_time,1.5,USA,17.159012630000078,-26.19524674600026,-9.036234116000184
target_storage_refill_time,2.0,global,30.795575306000494,-26.25785411199999,4.537721194000504
target_storage_refill_time,2.0,USA,16.530242374000192,-26.24176521599999,-9.711522841999798
target_storage_refill_time,2.5,global,33.541849902001125,-25.94892259800001,7.592927304001115
target_storage_refill_time,2.5,USA,17.680177790000375,-25.92839791600001,-8.248220125999634
target_storage_refill_time,3.0,global,33.04317018600036,-26.237883457999963,6.805286728000397
target_storage_refill_time,3.0,USA,18.20951766000035,-26.197022136999994,-7.987504476999643
target_storage_refill_time,3.5,global,33.69731211200073,-26.274719345000207,7.422592767000523
target_storage_refill_time,3.5,USA,18.123185525000146,-26.243683982000203,-8.120498457000057
target_storage_refill_time,4.0,global,34.37046583500122,-26.154507098000217,8.215958737001003
target_storage_refill_time,4.0,USA,18.81402032900001,-26.128358480000227,-7.314338151000218
target_storage_refill_time,4.5,global,36.464808710000476,-26.221174036999905,10.243634673000571
target_storage_refill_time,4.5,USA,19.860781047000145,-26.18494925599992,-6.324168208999776
target_storage_refill_time,5.0,global,34.23369818300135,-26.098361369000074,8.135336814001278
target_storage_refill_time,5.0,USA,18.5505545669996,-26.07636007100007,-7.52580550400047
target_storage_refill_time,5.5,global,34.89911400700208,-25.956855396999842,8.942258610002241
target_storage_refill_time,5.5,USA,18.646430899000435,-25.90414150399986,-7.257710604999424
target_storage_refill_time,6.0,global,35.245041564001866,-26.169185993000003,9.075855571001863
target_storage_refill_time,6.0,USA,19.01554008999983,-26.13252984400001,-7.11698975400018
target_storage_refill_time,6.5,global,35.15654349600151,-26.199241109000152,8.95730238700136
target_storage_refill_time,6.5,USA,18.775001124000408,-26.163864106000155,-7.388862981999747
target_storage_refill_time,7.0,global,35.98995914300096,-26.19569263100007,9.794266512000888
target_storage_refill_time,7.0,USA,19.450365676000075,-26.1621380130001,-6.711772337000024
target_storage_refill_time,7.5,global,37.61963840200037,-26.182713883999988,11.436924518000382
target_storage_refill_time,7.5,USA,19.404954652999756,-26.154073572000026,-6.749118919000271
target_storage_refill_time,8.0,global,35.471882447998276,-26.28037859600007,9.191503851998206
target_storage_refill_time,8.0,USA,19.414614825999298,-26.223688150000065,-6.809073324000767
target_storage_refill_time,8.5,global,36.078359754000225,-26.199009119000134,9.87935063500009
target_storage_refill_time,8.5,USA,19.078262079999963,-26.138175379000156,-7.059913299000193
target_storage_refill_time,9.0,global,36.037546482001765,-26.137788162999936,9.89975831900183
target_storage_refill_time,9.0,USA,18.684009723999807,-26.098409292999953,-7.414399569000146
target_storage_refill_time,9.5,global,37.090964708999316,-26.20235201500023,10.888612693999086
