,delta_t,delta_r,value
236,1.75,10000,0.07656104185942425
237,1.75,12500,0.07496118862770906
238,1.75,15000,0.07712345193722214
239,1.75,17500,0.07654754222816695
240,1.75,20000,0.07700215807171507
241,1.75,22500,0.07807854081756105
242,1.75,25000,0.0784504165540989
243,1.75,27500,0.07768876548779335
244,1.75,30000,0.0795511780420366
245,1.75,32500,0.0804433157428841
246,1.75,35000,0.08049451291016751
247,1.75,37500,0.08379429004610195
248,1.75,40000,0.08278069638021357
249,2.0,2500,0.07580342206845447
250,2.0,5000,0.07571616603747611
251,2.0,7500,0.07627428268768277
252,2.0,12500,0.07948031645328424
253,2.0,15000,0.0787908848169705
254,2.0,17500,0.07962083776094087
255,2.0,22500,0.08002344829658448
256,2.0,25000,0.0793077507050377
257,2.0,27500,0.08175168864710258
258,2.0,30000,0.08002868880720992
259,2.0,32500,0.08455342600670601
260,2.0,35000,0.08395546722792524
261,2.0,37500,0.0836528423376448
262,2.0,40000,0.08342367062497136
263,2.25,0,0.07758863748243972
264,2.25,2500,0.07861992403661588
265,2.25,5000,0.07910405354130123
266,2.25,7500,0.07952823321186742
267,2.25,10000,0.07856705602455882
268,2.25,12500,0.07903892418272829
269,2.25,15000,0.0802941477724195
270,2.25,17500,0.08050185075640925
271,2.25,20000,0.08278756731381343
272,2.25,22500,0.08039258908254521
273,2.25,25000,0.08218636289141212
274,2.25,27500,0.08392688739196075
275,2.25,30000,0.08417801831550609
276,2.25,32500,0.08392685168410186
277,2.25,35000,0.08506799681076149
278,2.25,37500,0.08617041665153202
279,2.25,40000,0.08621493591975948
280,2.5,0,0.07817431293610788
281,2.5,2500,0.07938287390243381
282,2.5,5000,0.07998956278023606
283,2.5,7500,0.07974868596218876
284,2.5,10000,0.08101802705866579
285,2.5,12500,0.08292930109756735
286,2.5,15000,0.08181535516211813
287,2.5,17500,0.08306052369106975
288,2.5,20000,0.08318617650744375
289,2.5,22500,0.08447052268067967
290,2.5,25000,0.08204659421813254
291,2.5,27500,0.08482454130820383
292,2.5,30000,0.08634515044401159
293,2.5,32500,0.08650897436739413
294,2.5,35000,0.08675039711494303
295,2.5,37500,0.08852599456530275
296,2.5,40000,0.08802484490593177
297,2.75,0,0.08314344056958856
298,2.75,2500,0.08119594992781476
299,2.75,5000,0.08169105859601178
300,2.75,7500,0.08325375456450512
301,2.75,10000,0.08308572801520864
302,2.75,12500,0.08403089093698135
303,2.75,15000,0.08586893747664082
304,2.75,17500,0.0871153365124222
305,2.75,20000,0.08692809371648735
306,2.75,22500,0.08678358815472631
307,2.75,25000,0.08535495620571876
308,2.75,27500,0.0881966957310798
309,2.75,30000,0.08932432184050043
310,2.75,32500,0.09259924324578339
311,2.75,35000,0.08863139301462652
312,2.75,37500,0.09279559572812346
313,2.75,40000,0.0946238083483042
314,3.0,2500,0.08460295392020978
315,3.0,5000,0.08333673360769733
316,3.0,7500,0.08436155085325137
317,3.0,10000,0.08280382098699857
318,3.0,12500,0.08656642241260393
